Intensidad_base,Rango_base,Intensidad_prueba,Rango_prueba,X_control,Y_control,X_prueba,Y_prueba
130.23,0.95568004488945,108.81,0.9567000454664232,0.5792843621046121,-0.7601012932635715,0.5799026342834003,-0.7609125519707433
134.77,0.9613000470399856,106.64,0.9584400463104248,0.5900399262397703,-0.7589141360404646,0.5882844757696367,-0.7566562614159569
146.22,1.0093000435829165,107.02,0.967280044555664,0.6271603222077412,-0.7907948584966642,0.601049874381395,-0.7578718447743764
159.26,1.036840053796768,103.48,0.9768600445985794,0.6520804743099203,-0.8061193163428313,0.6143583659636561,-0.7594862374682012
178.84,1.067440048456192,102.81,0.9914600425958632,0.6793003904683725,-0.823394945671683,0.6309480284567005,-0.7647859840836477
195.85,1.0692800533771516,106.81,1.0096000438928605,0.688396982935137,-0.8182111136106897,0.6499753006632472,-0.7725440810440446
208.08,1.065300054550171,114.71,1.0289000487327575,0.6936669913900197,-0.8085111695459225,0.6699652348622721,-0.780885327278091
206.51,1.0704000508785247,119.38,1.0399200475215913,0.7047927746170001,-0.8056198940992079,0.6847235620654524,-0.7826795952301985
206.18,1.0752400541305542,121.66,1.0463800501823426,0.7157539520841261,-0.8023948243119665,0.6965427426395532,-0.7808581286608796
208.55,1.081560060977936,122.2,1.053060052394867,0.7277140025193968,-0.8001277998168769,0.7085381323425065,-0.7790437657580431
210.74,1.0890400564670564,123.14,1.0598000466823578,0.7404852600730437,-0.798554834813694,0.72060371749673,-0.7771141623196818
209.97,1.0938800513744351,122.85,1.0638800537586213,0.7514797835685086,-0.7948909998753063,0.7308702188478968,-0.7730908691652452
211.12,1.1009600520133973,121.7,1.0688600480556487,0.7640267083845085,-0.7927018512684801,0.7417504592888965,-0.7695895389584209
211.29,1.1068200528621674,121.84,1.0729000508785247,0.7757458093097376,-0.7894739189841494,0.7519720266405997,-0.7652794197710859
210.15,1.1117600584030152,120.65,1.0790400505065918,0.7868222518241295,-0.7854432961676368,0.7636654293621422,-0.7623270574985537
210.61,1.1181200540065763,119.71,1.0837600576877593,0.798907397398753,-0.7822655722663627,0.774356853711308,-0.7582264343517042
210.49,1.1256200528144835,119.19,1.0882200574874878,0.811826239282178,-0.7797170387461316,0.7848523971943718,-0.7538100610474229
208.31,1.1316800534725189,118.19,1.093540052175522,0.8237216234940569,-0.7760041432981388,0.7959604698958942,-0.7498511692830457
208.44,1.1374200546741486,115.8,1.0985200488567353,0.8353854922294134,-0.771916744310916,0.8068151321641369,-0.7455170288136753
204.79,1.143900055885315,113.32,1.098260054588318,0.8475950879613522,-0.7681730955443664,0.8137772376038357,-0.7375240708357971
206.48,1.1516800510883332,109.72,1.1032400465011596,0.8607813901692888,-0.7651289684837793,0.8245766695535665,-0.7329474170988184
191.72,1.2349000561237335,101.57,1.100620050430298,0.9308530942602491,-0.811474377611838,0.8296344100621377,-0.7232366424967976
190.5,1.3183600628376009,92.16,1.0945400524139404,1.0020757253435428,-0.8566898481728237,0.8319517921223368,-0.7112482983619318
187.92,1.3337000656127929,78.03,1.0051800525188446,1.0220493670379194,-0.8568377654801149,0.7702958580601073,-0.645779551423882
155.54,1.1412200486660005,82.93,1.070220055580139,0.8815794459895354,-0.7247074443428965,0.8267327627025918,-0.679620413495722
156.85,1.1018200421333313,102.2,1.1000600469112396,0.8578539439789644,-0.6914434293898754,0.8564836486631049,-0.6903389503592374
160.55,1.1341800487041471,111.89,1.107440049648285,0.8898742151480111,-0.7031985950592142,0.8688940932528314,-0.6866196314374763
170.36,1.3849600732326508,99.43,1.1106200551986694,1.0948689550419939,-0.8481605836949991,0.8779916784502012,-0.6801525708116479
177.19,1.4161800575256347,67.66,0.9571600461006164,1.1278645554160287,-0.8564388477699466,0.762294938500584,-0.5788452129781544
177.96,1.4182400608062744,32.13,0.4705200207233428,1.137727031184002,-0.8467479392292736,0.3774560887709453,-0.28091990130860295
180.71,1.44398007273674,28.42,0.4177400171756744,1.1666392057254809,-0.8509003549917112,0.33750596080866363,-0.2461634586378602
187.17,1.470840071439743,29.68,0.4439800202846527,1.1966466573267889,-0.8552235340900594,0.36121344360264473,-0.2581532617897353
186.75,1.4877400767803193,22.64,0.3440800166130066,1.21868532526526,-0.8533326514562873,0.2818538490075346,-0.19735618974849709
